,2026 HLAL Dividends,,,,
,Q1 2026,Q2,,,
DVD per share,0.077,0.019,,,
Purification,0.00385,0.00095,,,
,,,,,
,2025 HLAL Dividends,,,,
,Q1 2025,Q2 2025,Q3 2025,Q4 2025,
DVD per share,0.08,0.023,0.15,0.07721,
Purification,0.004,0.00115,0.0075,0.0038605,
,,,,,
,2024 HLAL Dividends,,,,
,Q1 2024,Q2 2024,Q3 2024,Q4 2024,
DVD per share,0.03130851,0.02057288,0.17,0.08288632,
Purification,0.001565426,0.001028644,0.0085,0.004144316,
,,,,,
,2023 HLAL Dividends,,,,
,Q1 2023,Q2 2023,Q3 2023,Q4 2023,
DVD per share,0.0103,0.06972763,0.021549,0.14189781,
Purification,0.000515,0.003486382,0.0011,0.007094891,
,,,,,
,2022 HLAL Dividends,,,,
,Q1 2022,Q2 2022,Q3 2022,Q4 2022,
DVD per share,0.10077188,0.02234637,0.175,0.10812991,
Purification (5%),0.005038594,0.001117319,0.00875,0.005406496,
,,,,,
,2021 HLAL Dividends,,,,
,Q1 2021,Q2 2021,Q3 2021,Q4 2021,FY 2020
DVD per share,0.077,0.082,0.08,0.1,0.327175
Purification (5%),0.00385,0.0041,0.004,0.005,0.01635875
,,,,,
,2020 HLAL Dividends,,,,
,Q1,Q2,Q3,Q4,FY 2020
DVD per share,0.1,0.006,0.125,0.096175,0.327175
Purification (5%),0.005,0.0003,0.00625,0.00480875,0.01635875
,,,,,
,2019 HLAL Dividends,,,,
,Q1,Q2,Q3,Q4,FY 2019
DVD per share,0,0,0.08,0.096198,0.176198
Purification (5%),0,0,0.004,0.0048099,0.0088099
